AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USC00313152           0Q     0Q     0Q -7777Q     8Q    73Q   160Q   132Q    22Q -7777Q     0Q     0Q
USC00313228           0S     0S     0S -7777S     1S    18S    49S    41S     6S -7777S     0S     0S
USC00313356           0R     0R -7777S     4S    31S   144S   235S   202R    75S     5R -7777R     0R
USC00313565           0S     0S     0R     0S -7777S -7777C -7777C     1C     0C     0C     0S     0R
USC00313638       -7777S -7777S     1S     9S    47S   170S   259S   215S    91S    12S     1S -7777S
USC00313784           0R -7777R -7777R     8R    48R   170R   258R   214R    80R     8R     1R     0R
USC00313919           0Q     0Q -7777Q     4Q    23Q   125Q   201Q   166Q    41Q     3Q -7777Q     0Q
USC00313921           0Q     0Q     0Q -7777Q     1Q    20Q    57Q    45Q     4Q -7777Q     0Q     0Q
USC00313969           0S     0S -7777S     2S    17S   100R   177S   139S    43S     2S -7777S     0S
USC00313976           0R     0S -7777R -7777S     5S    47S   105S    80S    14S -7777S -7777R     0R
USC00314055           0C     0C     0S     0C -7777C     3C     8C     8S -7777C     0S     0C     0C
USC00314063           0C     0C -7777C     6S    34C   144S   222S   192S    70C     6S     1C     0S
USC00314144           0R     0S -7777S     3S    21S    96S   169S   131S    50S     5S     1S -7777R
USC00314260           0R     0R -7777R -7777R    10R    62R   125R   111R    32R     3R -7777R     0R
USC00314456           0S     0S -7777S     3S    21S   121S   207S   164S    58S     6R -7777S -7777S
USC00314464           0C -7777C -7777C     3C    26C   129S   206C   171C    61S     4S -7777C     0C
USC00314471           0Q     0Q -7777Q     6Q    37Q   164Q   263Q   205Q    85Q    11Q     1Q -7777Q
USC00314496           0S     0S     0S     0S -7777S     4S    15S    11S     1S     0S     0S     0S
USC00314684           0S     0R -7777R     5R    37R   140S   219S   175S    68S     8S     1S -7777S
USC00314689       -7777R -7777S     1S    13R    62S   196S   280S   234S   107S    17S     2S -7777S
USC00314788           0R     0R     0R     1R     4R     5R    11R     6R     1R     0R     0R     0R
USC00314860           0S -7777S -7777S     9S    59S   191S   274S   229S    95S    12S     1S -7777S
USC00314938           0C     0C -7777C     1C    13S    94C   167C   139C    38C     2C -7777C     0C
USC00314962       -7777R -7777R     1R     6R    33R   134R   208R   164R    57S     7S     1R -7777R
USC00314970           0C     0C -7777C     2C    21C   115S   193S   163S    51C     4C -7777C     0C
USC00314996           0C     0C -7777C     1C    16C   100C   173C   142C    43C     3C -7777C     0C
USC00315116           0C -7777C -7777C     4S    36C   147C   240S   203C    87S    11S     1S -7777S
USC00315123           0S -7777S -7777S     3S    22S   125S   202S   162S    51S     4S -7777S     0S
USC00315175           0Q     0Q -7777Q     5Q    28Q   149Q   240Q   201Q    65Q     8Q -7777Q     0Q
USC00315177       -7777S -7777S -7777S     7S    49S   180S   265R   217S    93S    11R     1R -7777R
USC00315340           0R     0R -7777R     1R    11S    89R   149R   118R    33R     1R     0R     0R
USC00315356           0S     0S     0S -7777S     1S    20S    53S    46S     6S -7777S     0S     0S
USC00315743           0S     0S     0S     1S    11S    78S   147S   119S    33S     2S -7777S     0S
USC00315771           0C     0C -7777C     4C    37C   158C   244C   203C    75C     8C     1C     0C
USC00315820       -7777Q -7777Q -7777Q     6Q    32Q   161Q   254Q   204Q    80Q     4Q -7777Q     0Q
USC00315830           0S     0S     0R     2R    33S   162S   262S   237S   123R    23S     1S     0S
USC00315838           0R     0S -7777R -7777S    10S    83S   152S   123R    30S     1S -7777S     0S
USC00315890           0S     0S     0S -7777S     5S    51S   106S    84S    19S     1S -7777S     0S
USC00315923           0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USC00315996           0R -7777S -7777R     2S    18R   103S   177S   135S    45S     4R -7777R -7777S
USC00316001           0S     0S     0R -7777S     5R    49R   106S    95S    22S     1R -7777R     0R
USC00316122           0Q     0Q -7777Q     4Q    18Q   115Q   195Q   149Q    44Q -7777Q     1Q     0Q
USC00316256           0S     0S -7777S     1S    10S    74S   133S   105S    24S     1S -7777S     0S
USC00316341           0S     0S     0S -7777S     2S    20S    46S    38S     6S -7777S     0S     0S
USC00316349           0R     0R     0R -7777R    17R   122R   239R   199R    95R    13R     1R -7777R
USC00316422           0Q     0Q -7777Q     5Q    21Q   135Q   218Q   169Q    61Q     6Q     1Q -7777Q
USC00316507           0R     0R -7777R     1R    12R    83R   145R   121R    34R     3R     0R     0R
USC00316510           0R     0R -7777R     5R    27R   131R   218R   171R    51R     3R -7777R     0R
USC00316676           0Q -7777Q -7777Q     6Q    38Q   152Q   255Q   195Q    83Q    10Q     2Q     0Q
USC00316805           0S     0S     0S -7777S     2S    21S    52R    43S     6R -7777R     0R     0S
USC00316853       -7777C -7777C -7777C     8C    45C   160C   240S   197S    82S    11S     1S -7777C
USC00317056           0R -7777R -7777R     6R    35R   142R   232R   178R    58R     4R -7777R -7777R
USC00317074           0S     0C -7777S     5C    35S   141S   221S   190S    72S     8S -7777S     0S
USC00317079           0S -7777S     1S     7S    37S   155S   242S   202S    72S     6S -7777S     0R
USC00317170           0Q     0Q -7777Q     4Q    42Q   171Q   264Q   236Q    98Q    18Q -7777Q     0Q
USC00317202           0S     0S -7777S     3S    19S   107S   174S   141S    44S     3S -7777S     0S
USC00317319           0S     0S -7777S     4S    29S   142S   234R   189S    67R     6S -7777S -7777R
USC00317346           0Q     0Q     0Q     0Q     1Q    11Q    36Q    19Q     1Q     0Q     0Q     0Q
USC00317516           0R     0R -7777R     2R    14R    83R   155R   119R    34S     2R -7777R     0R
USC00317548           0R     0R -7777R     2R     9R    79R   144R   116R    27R     1R -7777R     0R
USC00317615           0S     0C -7777S     3C    27S   132S   223S   184S    57S     4S -7777S     0S
USC00317618           0S     0S -7777S     2S    19S   108S   177S   145S    42S     3S -7777S     0S
USC00317656           0S     0S     1S     6S    35S   144S   227S   182S    66S     7S -7777S     0S
USC00317813           0Q     0Q     0Q     3Q    37Q   169Q   283Q   231Q   109Q    15Q -7777Q     0Q
USC00317845           0S     0S -7777R     1S    19S   106S   189S   156S    43S     2S -7777S     0S
USC00317924           0R     0S -7777S     4S    23S   120S   196S   160S    50S     4S -7777S     0S
USC00317994           0S -7777S -7777S     4S    30S   135S   221S   169S    60S     6S -7777S     0S
USC00318113       -7777R -7777S -7777S     7S    59S   211S   315S   276R   133S    30S     4S -7777S
USC00318158           0Q     0Q -7777Q     2Q     1Q    21Q    75Q    53Q     4Q     0Q     0Q     0Q
USC00318221           0Q     0Q     0Q     0Q     0Q     4Q    16Q    10Q -7777Q     0Q     0Q     0Q
USC00318292           0S     0S -7777S -7777S     9S    66S   131S    99C    21S     1S -7777S     0S
USC00318380           0Q     0Q -7777Q     4Q    21Q   140Q   233Q   195Q    78Q    11Q -7777Q     0Q
USC00318448           0S     0S     0S     0S -7777R     2R     4R     6R     1R     0R     0R     0R
USC00318492           0S     0S -7777S -7777S     6S    43R    84R    72R    18R     1R -7777R     0R
USC00318500           0R -7777R -7777S     4S    34R   145S   236S   196S    72R     8R -7777R -7777R
USC00318519           0R     0R -7777R     3R    23R   119R   183R   160R    47R     3R -7777R     0R
USC00318694           0S     0S     0S     0S -7777S     2S     7S     5S -7777S     0S     0S     0S
USC00318744           0C     0C -7777C     2C    18C   101C   186C   150C    45C     2C -7777S     0C
USC00318964           0S     0S -7777S     5S    36S   150S   235S   192S    70S     5S -7777S     0S
USC00319026           0Q -7777Q -7777Q     7Q    35Q   146Q   244Q   202Q    73Q    10Q     1Q -7777Q
USC00319081           0R     0R -7777R     3S    25S   117R   209R   166R    60R     6R -7777R     0R
USC00319100           0Q -7777Q     1Q     6Q    45Q   188Q   282Q   236Q   106Q    13Q     1Q -7777Q
USC00319123           0C     0C -7777C     1C     7C    55C   109C    96C    22C     1C     0C     0C
USC00319147           0S     0S     0S -7777S -7777S     6S    17S    15S     1S -7777S     0S     0S
USC00319357           0R -7777R -7777R     6R    44S   157S   247S   204S    90R    10R     1R -7777R
USC00319423           0S -7777S     1S     8S    51S   166S   254S   214S    90S    12S     1S -7777S
USC00319440           0S -7777S -7777S     4S    31S   134S   213S   176S    63S     8S -7777S -7777S
USC00319461           0Q     0Q -7777Q     1Q    46Q   182Q   302Q   260Q   107Q    13Q -7777Q -7777Q
USC00319467       -7777S -7777S     1S     7S    48S   173S   266S   222S    95S    12S     1S -7777S
USC00319476           0S -7777S     1S     7S    42S   171S   258S   214S    87S    10S     1S -7777S
USC00319555           0C     0C -7777C     1C    12C    82C   145C   118C    33C     1C -7777S     0C
USC00319675           0S     0S -7777S -7777S     9S    77S   144S   111S    29S     1S -7777S     0S
USC00319704           0R     0R -7777R     4R    30R   137R   209R   172R    52R     3R     1R     0R
USC00320127           0R     0R     0R -7777R     2R    19R    65R    50R     6R -7777R     0R     0S
USC00320209           0R     0R     0R -7777R     1S    20R    75R    67R    11R -7777R     0R     0R
USC00320382           0S     0S     0C -7777S     1S    18S    62S    43S     7S -7777S     0S     0S
USC00320590           0R     0R     0R     0R     1R    15S    54S    50S     6S -7777S     0R     0R
USC00320626           0R     0R     0R     0R -7777R     5R    13R    10R     1R     0R     0R     0R
USC00320766           0S     0S     0S -7777S     3R    23R    70R    62R     8R -7777R     0R     0R
USC00320767           0Q     0Q     0Q     0Q -7777Q     4Q    46Q    46Q     7Q     0Q     0Q     0Q
USC00320817           0Q     0Q     0Q     0Q -7777Q     2Q    39Q    38Q     4Q     0Q     0Q     0Q
USC00320941           0S     0C     0C     0C     1C    11C    26C    22S     3C -7777C     0C     0C
USC00320961           0R     0R     0R     0R     1R    11R    26R    25R     2R     0R     0R     0R
USC00320995           0S     0C     0S -7777S -7777C    11C    53C    42S     5S -7777S     0C     0C
USC00321052           0R     0R     0R -7777R     1R    23R    67R    54R     7R     0R     0R     0R
USC00321225           0R     0R     0S -7777S     2S    19S    49S    51S     6S -7777S     0S     0S
USC00321360           0R     0R     0R -7777R     1R    13R    33R    24R     4R -7777R     0R     0R
USC00321362           0R     0R     0R -7777S     2S    15S    43S    35S     5S -7777S     0R     0R
USC00321370           0R     0R     0R -7777R     1R    13R    50R    43R     6R -7777R     0R     0R
USC00321408           0R     0R     0R -7777R     2R    21R    49R    37R     6R -7777R     0S     0S
USC00321435           0C     0C     0C -7777C     2S     9C    19S    16C     2C -7777C     0S     0C
USC00321456           0S     0S     0S -7777S     2S    18R    57S    53S     8S -7777S     0S     0S
USC00321686           0S     0S     0S -7777S     2S    19S    48R    41S     6S -7777S     0S     0R
USC00321766           0S     0S     0S -7777S     1S    12S    26S    22S     3S -7777S     0S     0S
USC00321871           0C     0C     0C -7777C     2C    17C    38C    34C     3C -7777C     0C     0C
USC00322188           0S     0S     0S     0S -7777S    13S    47S    41S     4S -7777S     0S     0S
USC00322193           0S     0S     0S     0S     1S    16S    54S    44S     4S -7777S     0S     0S
USC00322304           0S     0S     0S -7777C     2S    17C    40S    36C     4C -7777S     0S     0S
USC00322365           0R     0R     0R -7777R     1R    13R    48R    45R     4R -7777R     0R     0R
USC00322482           0R     0R     0R -7777R     1R    16R    47R    36R     4R -7777R     0R     0R
USC00322525           0S     0S     0S     0S     1S     9S    19S    17S     2S -7777S     0S     0S
USC00322536           0R     0R     0S -7777R     2S    22S    56R    45S     7S -7777R     0R     0R
USC00322605           0R     0R     0R -7777R     3R    25R    69S    55S     9S -7777R     0R     0R
USC00322695           0R     0R     0R -7777R     3R    26R    54R    39R     8R -7777R     0R     0R
USC00322809           0C     0S     0C -7777S     1S    16S    65C    57S     8S -7777S     0C     0S
USC00322949           0R     0S     0S -7777S     2R    17S    43S    35R     5R -7777S     0R     0S
USC00323004           0R     0R     0R -7777R     1R    13R    61R    43R     6R     0R     0R     0R
USC00323117           0S     0S     0C -7777C     3S    25C    67S    51S     9S -7777C     0S     0C
USC00323196           0S     0S     0S     0S     1S    12C    26S    24C     2C     0S     0S     0S
USC00323207           0R     0R     0R -7777R     2R    27R    80R    62R     7R -7777R     0R     0R
USC00323217           0R     0R     0R -7777R     1R    18R    47R    43R     3R -7777R     0R     0R
USC00323287           0C     0C     0C -7777S     3S    22C    56C    40C     6C -7777C     0C     0C
USC00323309           0R     0R     0R -7777R     2R    20R    57R    42R     7R -7777R     0R     0R
USC00323376           0S     0S     0S     0S     1S    12S    33C    31C     3S -7777S     0S     0S
USC00323594           0R     0R     0R     1R     7R    35R    60R    50R     9R -7777R     0R     0R
USC00323621           0S     0S     0S -7777S     3S    21S    44S    35S     5S -7777R     0S     0R
USC00323686           0R     0R     0R -7777R     3R    27R    56R    50R     5R -7777R     0R     0R
USC00323705           0R     0R     0R -7777R     1R    13R    51R    45R     5R -7777R     0R     0R
USC00323908           0R     0R     0R     0R     3R    26R    68R    48R     6R -7777R     0R     0R
USC00323963           0S     0S     0S -7777S     1S    10C    21C    23C     3C -7777C     0S     0S
USC00324013           0R     0R     0S -7777S     2R    15S    39R    31R     4S -7777R     0S     0R
USC00324083           0R     0R     0R -7777R     1R    10R    45R    31R     3R -7777R     0R     0R
USC00324091           0R     0R     0R -7777R     2R    19R    66R    51R     6S -7777S     0S     0S
USC00324102           0R     0R     0R -7777R     1R    13R    48R    40R     3R -7777R     0R     0R
USC00324178           0R     0R     0R -7777R     1R    15R    55R    44R     5R -7777R     0R     0R
USC00324180           0Q     0Q     0Q     0Q     1Q    10Q    61Q    53Q     7Q -7777Q     0Q     0Q
USC00324203           0S     0S     0S -7777R     3R    21R    47S    37S     5S -7777S     0S     0S
USC00324343           0R     0R     0R     0R -7777R    11R    24R    20R     3R -7777R     0R     0R
USC00324418           0S     0S     0S -7777S     2S    17S    48C    37S     4C -7777C     0S     0S
USC00324571           0C     0C     0C -7777C     2C    19S    58S    57S     8S -7777S     0C     0C
USC00324646           0S     0S     0S     0S     1S    12S    28S    28S     3S     0S     0S     0S
USC00324722           0R     0R     0R     0R -7777R     7R    40R    49R     4R     0R     0R     0R
USC00324937           0S     0S     0S -7777S     3S    27S    67S    46S     7S -7777S     0S     0S
USC00324958           0C     0C     0C     0C     1S     7C    14C    14S     2S     0C     0C     0C
USC00325013           0R     0R     0R     0R     2R    15R    28R    24R     2R -7777R     0R     0R
USC00325078           0S     0R     0R -7777S     1R    13R    25R    20R     2R -7777R     0R     0R
USC00325186           0Q     0Q     0Q     0Q     3Q    22Q    66Q    55Q    11Q -7777Q     0Q     0Q
USC00325210           0R     0R     0R -7777R     3R    29R    81R    59R     8R -7777R     0R     0R
USC00325211           0Q     0Q     0Q     0Q     0Q     2Q    47Q    51Q     4Q     0Q     0Q     0Q
USC00325220           0S     0R     0R -7777S     3S    30R    72R    55S     9S     0S     0R     0S
USC00325479           0S     0S     0C -7777C     2C    20C    63C    49C     6C -7777C     0C     0C
USC00325638           0S     0S     0R -7777S     2S    15S    44S    42S     5S -7777S     0S     0S
USC00325660           0R     0R     0R -7777R     1R    16R    37R    28R     4R     0R     0R     0R
USC00325710           0S     0S     0S -7777S     3S    25S    69S    62S     8S -7777S     0S     0S
USC00325730           0S     0S     0S -7777S     1S    15S    38S    32S     4S -7777S     0S     0S
USC00325754           0C     0S     0C -7777C     4S    29C    66C    53S     9C -7777S     0C     0C
USC00325764           0R     0R     0R -7777R     2R    20R    45R    36R     5R -7777R     0R     0R
USC00325813           0S     0S     0R -7777S     1S    20S    78S    65S     7S -7777S     0S     0S
USC00325848           0R     0R     0R     0R -7777R     8R    23R    20R     1R     0R     0R     0R
USC00325993           0C     0C     0C -7777S     2S    15S    34C    30S     4C -7777C     0S     0C
USC00326015           0R     0S     0S -7777S     3R    27S    75R    66S    10R -7777R     0R     0R
USC00326025           0R     0S     0S     0S     1S    12R    20S    20S     2S -7777S     0S     0S
USC00326155           0S     0S     0S -7777S -7777S    16S    61S    47S     6S -7777S     0S     0S
USC00326255           0S     0C     0C -7777S     1C    17S    54S    42S     7S -7777C     0S     0C
USC00326315           0S     0S     0S -7777S     1S    15S    54S    47S     5C     0S     0S     0S
USC00326365           0S     0S     0S -7777S     1S    14S    50S    41S     6S -7777S     0S     0S
USC00326620           0R     0R     0R -7777S     2S    21S    56S    38S     6S -7777S     0R     0R
USC00326857           0R     0R     0R -7777R     3R    22R    51R    36R     7R -7777R     0R     0R
USC00327027           0C     0S     0C -7777C     1C    11C    25C    22C     3C -7777C     0C     0C
USC00327047           0R     0R     0R -7777R     2R    22R    59R    53R     8R -7777R     0R     0R
USC00327281           0R     0R     0R -7777R     1R    12R    25R    25R     2R     0R     0R     0R
USC00327311           0S     0S     0S -7777S     1S    18S    69S    57S     8S -7777S     0S     0S
USC00327530           0C     0C     0C -7777C     1C    20C    69C    58C     7C -7777C     0C     0C
USC00327585           0Q     0Q     0Q     0Q -7777Q     7Q    38Q    30Q     5Q     0Q     0Q     0Q
USC00327655           0Q     0Q     0Q -7777Q -7777Q     5Q    22Q    23Q     2Q     0Q     0Q     0Q
USC00327664           0S     0S     0S     0S -7777S     4S     9S     9S     1S     0S     0S     0S
USC00327704           0S     0C     0C -7777C     1S    14S    25S    25S     2C     0S     0C     0S
USC00327986           0R     0R     0R -7777R     1R    12R    24R    22R     3R -7777R     0R     0R
USC00328276           0C     0C     0C     0C -7777C     9S    22C    23C     2C -7777C     0C     0C
USC00328366           0R     0R     0R -7777R     2R    15R    47R    40R     7R -7777R     0R     0R
USC00328415           0R     0R     0R -7777R     1R    14R    48R    36R     5R -7777R     0R     0R
USC00328660           0Q     0Q     0Q     0Q     1Q     9Q    56Q    56Q     5Q     0Q     0Q     0Q
USC00328737           0S     0S     0S -7777S     2R    19S    52S    51S     6S -7777S     0S     0S
USC00328792           0S     0C     0S -7777C     1C    13S    31S    28S     3S     0S     0C     0C
USC00328812           0C     0C     0C -7777C     1C    17S    65C    59C     7C -7777C     0C     0C
USC00328840           0S     0S     0S -7777C     1C    12C    41S    36S     3S -7777S     0S     0S
USC00328850           0R     0R     0R -7777R     2R    20R    54R    47R     7R     0R     0R     0R
USC00328853           0R     0R     0R     0R -7777R     7R    24R    21R     1R -7777R     0R     0R
USC00328872           0S     0S     0S -7777S     2S    18S    50S    43S     5S -7777S     0S     0S
USC00328913           0C     0C     0C -7777C     2C    13C    27C    26C     2C     0C     0C     0C
USC00328937           0C     0S     0S -7777C     2C    15S    37C    29S     4S -7777C     0C     0C
USC00328990           0R     0R     0R -7777R     1R    12R    32R    27R     3R     0R     0R     0R
USC00329100           0R     0R     0R -7777R     5R    33R    71R    55R    10R -7777R     0R     0R
USC00329195           0S     0S     0S -7777S     2S    16S    52S    46S     6S -7777S     0S     0S
USC00329233           0R     0R     0R     0R     1R    14R    54R    44R     4R     0R     0R     0R
USC00329246           0S     0C     0C -7777C     2S    25S    84C    76C    11C -7777S     0C     0S
USC00329333           0S     0C     0S -7777S     2C    17C    33C    35C     4S     0S     0C     0C
USC00329400           0S     0S     0S     0S     1S    10S    22S    24S     2S     0S     0S     0S
USC00329430           0C     0C     0C -7777C     2S    25S    76C    72S    10C -7777C     0S     0S
USC00329445           0S     0S     0S     0S     1S     9C    19S    18C     1S     0S     0S     0S
USC00329455           0S     0S     0R -7777S     1R    12R    35R    31R     4R -7777S     0S     0S
USC00329515           0R     0R     0R -7777R     1R     9R    36R    26R     3R -7777R     0R     0R
USC00330061           0R     0R     0R     1R    12R    60R   103R    79R    22R     1R     0R     0R
USC00330256           0R     0R     0R     1R     5R    38R    61R    41R    12R -7777R     0R     0R
USC00330264           0R     0R     0R     1R     5R    28R    58R    41R    13R -7777R     0R     0R
USC00330279           0R     0R -7777R     1R     6R    39R    78R    63R    15R     1R     0R     0R
USC00330430           0R     0R -7777R     1R     5R    34R    69R    52R    12R     1R     0R     0R
USC00330563           0S     0S -7777S -7777S     6S    45S    73S    58S    17S     1S     0S     0S
USC00330676           0R     0R     0R     0R     8R    57R    97R    75R    17R     1R     0R     0R
USC00330862           0S     0S -7777C -7777C     7S    51S    86S    50S    14S     1S     0S     0S
USC00331042           0Q     0Q     0Q     0Q     1Q    39Q    81Q    41Q     8Q -7777Q     0Q     0Q
USC00331072           0C     0S -7777S -7777S     5S    42S    72S    48S    12S     1S     0C     0C
USC00331152           0S     0S     0R -7777R     2R    20S    45S    34S     8S -7777S     0S     0S
USC00331175           0Q     0Q     0Q     0Q     5Q    21Q    61Q    37Q     6Q     1Q     0Q     0Q
USC00331197           0C     0S -7777S     1S     9S    54S   100S    81S    20S     1S     0S     0S
USC00331245           0R     0R     0R -7777R     2R    17R    41R    23R     7R -7777R     0R     0R
USC00331288           0R     0R -7777R     1R     4S    35R    67R    58R    15R     1R -7777R     0R
USC00331390           0S     0S -7777S     1S    11S    60S    93S    68S    22S     2S     0S     0S
USC00331404           0S     0S -7777S -7777S     6S    43S    73S    54S    11S     1S     0S     0S
USC00331458           0C     0C -7777C -7777C     2C    20C    39C    23C     5C -7777C     0C     0C
USC00331515           0R     0R -7777R     1R    14R    66R   123R   103R    28R     2R -7777R     0R
USC00331528           0R     0R -7777R     1R    11R    67R   112R    91R    26R     2R     0R     0R
USC00331536           0S     0S     0S -7777S     9S    59S   127S   114S    33S     2S     0S     0S
USC00331541           0S     0S     0S -7777S     3S    29S    54S    38S    10S     1S     0S     0S
USC00331550           0S     0S -7777S     1S    13S    73S   137S   116S    33S     2S -7777S     0S
USC00331592           0S     0S -7777S     1S     9S    61S    99S    79S    23S     2S     0S     0S
USC00331783           0R     0R -7777R -7777R    11R    69R   118R    82R    24R     1R     0R     0R
USC00331890           0C     0C -7777S -7777C     5C    38C    75S    57S    12C     1C     0C     0C
USC00331905           0S     0S -7777S     1S     7S    44S    79S    62S    17S     1S     0S     0S
USC00332044           0C     0C     0C -7777C     2C    24C    48C    33C     7C -7777C     0C     0C
USC00332067           0S     0S -7777C     3C    23C   109S   175S   141C    45S     4C -7777S     0S
USC00332098           0C     0C -7777C     1C     8C    56C    98C    67S    19C     1C     0S     0C
USC00332119           0R     0R -7777R -7777R    10R    60R   101R    72R    24R     1R     0R     0R
USC00332160           0R     0R -7777R -7777R     4R    34R    68R    51R     8R     1R     0R     0R
USC00332251           0S     0S -7777S -7777S     3S    23C    46S    30S     8S -7777C     0C     0C
USC00332485           0S     0S -7777C -7777S     8S    55C    98S    76C    21C     1C     0C     0S
USC00332599           0S     0S -7777S     2S    10S    60S   108S    78S    23S     1S     0S     0S
USC00332651           0R     0R -7777R     1R    14R    83R   152R   127R    33R     2R     0R     0R
USC00332791           0S     0S -7777S     1S    12S    66S   109S    76S    22S     2S     0S     0S
USC00332928           0S     0S -7777S     1S     9R    64R   106S    91R    23R     1R     0S     0S
USC00332956           0S     0C     0S -7777C     3S    28S    46S    27S     5S -7777R     0S     0S
USC00332974           0R     0R     0R     1R    11R    60R   100R    65R    20R     2R     0R     0R
USC00332976           0R     0R -7777R     1R    13R    64R    98R    64R    15R     2R     0R     0R
USC00333021           0Q     0Q -7777Q -7777Q     2Q    36Q    64Q    58Q    13Q     1Q     0Q     0Q
USC00333029           0S     0S -7777S     3S    27S   126S   210S   184S    66S     5S -7777S -7777S
USC00333375           0S     0C -7777C -7777C     8C    51C    82C    56C    15C     1C     0S     0S
USC00333500           0C     0C     0C -7777S     3S    32C    73C    66C    14S     1C     0C     0C
USC00333722           0R     0R     0R -7777R     6R    53R    71R    56R    12R     1R     0R     0R
USC00333758           0S     0S -7777S -7777S     6S    41S    79S    64S    16S     1S     0S     0S
USC00333780           0S     0C     0C -7777C     2C    18C    39S    25S     5C -7777C     0S     0S
USC00333874           0S     0S -7777S     2S    14S    74S   118S    76S    25S     2S     0S     0S
USC00333987           0R     0R -7777R -7777R    11R    60R    97R    78R    22R     1R     0R     0R
USC00334004           0R     0R -7777R     1R     5R    44R    90R    72R    17R     1R     0R     0R
USC00334189           0S     0S -7777S     2S    11S    62S   104S    76S    21S     1S     0S     0S
USC00334260           0R -7777R -7777R     1R     8R    38R    62R    43R     9R     1R     0R     0R
USC00334383           0R     0R     0R -7777R     6R    42R    82R    58R    18R     1R     0R     0R
USC00334403           0R     0R -7777R     1R    13R    72R   121R    94R    21R     1R     0R     0R
USC00334551           0S     0S     0S     1C     9C    51S    86C    65S    20S     1S     0S     0C
USC00334672           0R     0R     0R     0R     5R    30R    63R    47R     9R -7777R     0R     0R
USC00334681           0R     0R     0R -7777R     7R    48R    83R    61R    16R     1R     0R     0R
USC00334874           0S     0S -7777S     1S     4S    29S    49S    38S    10S -7777S     0S     0S
USC00334927           0S     0S -7777S -7777S     7S    50S    97S    80S    19S     1S     0S     0S
USC00334942           0S     0S -7777S -7777S     7S    45S    76S    52S    14S     1S     0S     0S
USC00334979           0S     0S -7777S     1S    11S    62C   107C    81C    22C     1C     0S     0S
USC00335041           0S     0C -7777C -7777S     4S    36S    77C    64S    16C     1C     0S     0C
USC00335188           0Q     0Q -7777Q     1Q     6Q    63Q   140Q   125Q    25Q     2Q     0Q     0Q
USC00335268           0R     0R -7777R     1R    12R    73R   129R   106R    30R     1R     0R     0R
USC00335297           0R     0R     0R -7777R     3R    26R    56R    38R     7R -7777R     0R     0R
USC00335315           0S     0C -7777S -7777S     2S    22S    49S    32S     6S -7777S     0S     0S
USC00335356           0R     0R -7777R -7777R     7R    45R    88R    71R    20R     1R     0R     0R
USC00335438           0S     0S -7777S -7777S     6S    43S    76S    50S    12S     1S     0S     0S
USC00335669           0R     0R -7777R -7777R     8R    54R    94R    66R    20R     1R     0R     0R
USC00335747           0S     0S     0S -7777S     5S    39S    76S    56S    12S     1S     0S     0S
USC00335857           0S     0S -7777S -7777S     2S    26S    57S    43S     9S -7777S     0S     0S
USC00335894           0R     0R -7777R -7777R     6R    40R    80R    57R    15R     1R     0R     0R
USC00335939           0R     0R -7777R -7777R     6R    44R    93R    72R    16R     1R     0R     0R
USC00336118           0S     0S -7777S     1S     9R    50R    84R    58R    18R     1S     0S     0S
USC00336196           0S     0S -7777S -7777S     6S    42S    70S    44S    11S     1S     0S     0S
USC00336389           0S     0S     0S     1S     5R    39R    77R    60R    17R     1R     0S     0S
USC00336405           0C     0C -7777C     1C    10C    53C    88S    58C    17S     1S     0S     0S
USC00336465           0C     0S     0S -7777S     6S    44S    74C    46S    13S     1S     0S     0S
USC00336600           0S     0S -7777S     3S    11S    51S    95S    82S    25C     2C -7777C     0C
USC00336650           0Q     0Q     0Q -7777Q     4Q    56Q   111Q    77Q    13Q     2Q     0Q     0Q
USC00336781           0S     0S -7777S     1S    11C    70C   126C   105S    28S     2S     0C     0C
USC00336882           0R     0R -7777R -7777R     4R    40R    96R    78R    24R     1R     0R     0R
USC00337120           0R     0R     0R -7777R     4R    33R    63R    52R    11R     1R     0R     0R
USC00337559           0Q     0Q -7777Q     1Q     1Q    30Q    63Q    42Q    17Q     1Q     0Q     0Q
USC00337693           0S     0S -7777S -7777S     6S    45S    78S    53S    16S     1S     0S     0S
USC00337857           0R     0R -7777R     1R    17R    88R   149R   125R    34R     2R     0R     0R
USC00337935           0S     0S -7777S -7777S     8C    49S    83S    64C    17C     1C     0C     0C
USC00338025           0S     0S -7777S -7777S     6S    39S    80S    61S    14S -7777S     0S     0S
USC00338313           0S     0S -7777S     1S    10S    57S    95S    67S    19S     1S     0S     0S
USC00338366           0R     0R     0R     2R    14R    89R   153R   106R    34R     2R     0R     0R
USC00338534           0S     0S -7777S     1S     8S    53C    87S    60S    18S     1S     0S     0S
USC00338552           0S     0S -7777S -7777S     7S    56S    91S    64S    16S     1S     0S     0S
USC00338609           0S     0S -7777S     1S    12S    66S   106S    71S    23S     1S     0S     0S
USC00338769           0C     0C -7777C -7777C     2C    19C    42C    28C     5C -7777C     0C     0C
USC00338794           0R     0R     0R -7777R     8R    52R    86R    72R    20R     1R     0R     0R
USC00338810           0R     0R     0R -7777R     5R    39R    94R    63R    11R -7777R     0R     0R
USC00338822           0S     0C     0C -7777S     4C    38C    65S    39S    10S     1C     0C     0C
