USC00026616          32S    28S    25S    31S    26S    24C    21S    15S    19S    27S    34S    27S
USC00026653          20R    22S    28S    25S    26R    27S    19S    13S    20S    24S    27R    18R
USC00026716          22S    22S    17S    21S    20S    23S    14S    14S    19S    17S    25S    21S
USC00026796          27S    25S    29R    31S    32S    29S    20S    16S    22S    29S    30S    25S
USC00026840          18R    21R    25R    32S    30S    31S    22S    16R    22R    25R    28R    16R
USC00026865          24R    24R    30R    31R    33R    23R    20R    20R    28R    28R    30R    21R
USC00027281          19S    23S    28S    30S    29S    24S    18S    17S    20S    25S    28S    15S
USC00027370          30R    24R    28R    32R    30S    25R    19R    16R    24R    28R    21R    15R
USC00027390          21S    22S    24C    27C    23C    23C    17C    16C    21C    19C    28S    15S
USC00027435          28S    27S    24S    29S    27S    25S    21S    15S    22S    24S    25S    30S
USC00027480          23R    27S    27R    30R    28R    24R    19R    19R    25R    26R    28R    22S
USC00027488          38S    25S    25S    31R    24S    24S    16S    15S    19S    24S    31S    30S
USC00027560          20R    23R    19R    27R    24R    23R    16R    15R    23R    23R    24R    19R
USC00027593          28S    30R    29S    32R    26S    22R    18S    17R    19S    25R    33R    23R
USC00027619          25S    27S    31S    30C    28S    26S    19S    18S    21S    20S    31R    25S
USC00027625          27R    25R    29R    24R    26R    24R    18R    15R    17R    20R    21R    19R
USC00027708          29S    29S    33S    31S    30S    26S    21S    14S    25S    32S    38S    22R
USC00027716          28S    24S    26S    31S    29S    26S    19S    16S    19S    26S    31S    27S
USC00027855          37S    26S    24C    28C    28C    24S    16C    18C    22C    25C    29S    28S
USC00027880          24R    23R    26S    29R    23R    22R    16R    15R    20R    17R    27R    21R
USC00028012          32C    23C    22C    28C    25C    23C    16C    11C    19C    23C    23C    27C
USC00028018          38R    22R    23R    28R    32R    24R    19R    13R    21R    25R    29R    31R
USC00028112          21S    22S    27S    28S    30S    24R    19R    13R    25R    29R    29R    18R
USC00028162          30S    24S    20S    27S    20S    22S    15S    15S    21S    21S    22S    28R
USC00028214          26S    25S    33S    33S    28R    27R    17S    16R    23S    25R    31R    19R
USC00028329          39S    25S    28S    29S    26S    24S    18S    15S    20S    24S    24S    37S
USC00028348          34R    27R    33R    31R    26R    23R    23R    16R    25R    28R    38R    26R
USC00028396          22S    23S    26S    25S    29S    27S    24S    21S    26S    28S    27S    19S
USC00028468          41S    27S    25S    32S    32R    26S    20S    17S    23S    28S    24R    30R
USC00028499          21S    22S    26S    28S    28S    24S    18S    15S    22S    25S    32R    18S
USC00028516          23R    18R    23R    32R    32R    28R    23R    21R    24R    26R    28R    18R
USC00028619          27C    24C    26C    28C    25C    21C    17C    16C    20C    22C    33C    23S
USC00028641          23R    24R    29R    28R    28R    26R    19R    16R    30R    27R    27R    21R
USC00028792          28R    24R    27R    31R    29R    27R    21R    19R    21R    29R    25R    31R
USC00028795          26R    26S    27S    29S    27S    23S    19S    17S    23S    26R    33R    21R
USC00028796          20R    23R    23R    28R    24S    24S    15S    15S    21S    21R    28R    17R
USC00028800          24R    24R    25R    27R    23R    25R    16R    20R    22R    22R    33R    14R
USC00028815          25S    25S    27S    32S    28S    20S    21S    16S    22S    23S    32S    18S
USC00028817          23R    23R    24S    29S    25S    21S    16S    13S    20S    22S    29R    17R
USC00028865          23C    23S    27S    27S    25C    24C    18S    14S    18C    20C    28S    21S
USC00028904          23S    24R    27S    30S    29S    26S    17S    17S    21R    26R    31R    19R
USC00029114          28S    24S    24S    33S    28S    28S    25R    18R    20S    27S    24S    25R
USC00029158          23C    24S    24C    29C    28C    29S    20C    16C    22C    25C    25C    24C
USC00029271          25R    31R    25R    28R    28S    28S    18S    13R    22R    24R    28R    16R
USC00029287          23S    23S    28S    29S    33S    30S    27S    21S    26S    29S    30S    19S
USC00029309          25R    24R    27R    31R    31R    25R    24R    14R    24R    30R    38R    20R
USC00029334          21S    22S    21S    25S    24S    25S    19S    15S    23S    21S    24S    17S
USC00029359          29S    29C    33S    33S    31C    26C    16C    15C    21C    28C    34C    28S
USC00029376          22R    23S    27R    31R    31R    26S    24S    22R    20R    25R    28R    22R
USC00029410          36R    29R    28R    27R    27R    28R    15R    12R    21R    28R    28R    33R
USC00029542          33C    25S    30C    34C    31S    28S    22S    19S    22S    28C    29C    35C
USC00029634          20S    22S    27S    28S    27S    25S    19S    16S    24S    24S    30S    17S
USC00029645          25S    24S    33S    32S    33S    23S    18S    17S    25S    26S    32S    23S
USC00029652          22R    22R    24R    25R    32R    24R    17R    17R    27R    27R    26R    18R
USC00029656          23R    19R    26R    24R    26R    23R    16R    20R    24R    26R    25R    17R
USC00030064          41S    38S    30S    32S    25S    26S    22S    24S    23S    23S    34S    45S
USC00030130          32S    39S    31S    29S    21S    20S    18S    29S    23S    22S    31S    43S
USC00030220          30R    34R    27R    28R    21R    18S    16S    25S    23S    16S    23R    41R
USC00030240          38S    38S    31S    30S    20S    20S    19S    27S    21S    21S    30S    44S
USC00030458          40S    40S    32S    32S    25S    24S    20S    30S    26S    22S    34S    45S
USC00030460          40S    42S    28S    34R    26R    23S    20S    26S    24S    24R    32S    47R
USC00030536          42S    40S    31S    29C    27C    22S    18S    26C    25C    23C    34S    44S
USC00030582          33R    38R    30S    28S    23S    22S    18S    30S    23S    23S    27S    44S
USC00030586          39R    41R    32R    32R    26R    23R    18R    30R    28R    25R    36R    47R
USC00030764          32S    33S    27S    27S    21R    20S    18S    27S    22S    21R    28S    42S
USC00030798          33S    38S    31S    30S    24S    22S    19S    33S    25S    24S    32S    42S
USC00030806          43C    42C    31C    33C    26C    21C    17C    25S    23S    25S    34S    48C
USC00030832          37S    40S    32S    30S    23S    22S    22S    34S    26S    24S    34S    42S
USC00030936          39S    39S    30S    31S    25R    21S    19S    28S    21S    23S    31S    42S
USC00031102          34R    39S    27S    31S    22S    21S    18S    30S    22S    22S    29S    44R
USC00031132          37S    37S    31S    30S    24S    20S    21S    26S    25S    23S    30S    42S
USC00031140          37R    33R    27R    28R    20R    19R    16R    25R    22R    22R    30R    42R
USC00031152          34C    34S    27S    29C    24C    20C    17C    26C    24S    21S    29C    44C
USC00031191          36R    35R    28R    30R    22R    20R    18R    29R    20R    24R    28R    30R
USC00031442          41R    40R    29R    32R    26R    21R    18S    24S    25S    29S    31S    45S
USC00031455          32R    39R    29R    30R    28R    23R    17R    28R    22R    23R    35R    43R
USC00031459          36R    39R    31R    30R    23R    20R    18R    32R    25R    22R    33R    41R
USC00031596          36R    37R    31R    31S    23R    22R    24R    30R    24R    21R    33R    45R
USC00031632          42S    40S    31S    32S    26C    21C    18C    26C    25S    23C    34S    47S
USC00031730          37S    33S    28S    30S    21S    19S    14S    25S    21S    24S    30S    41S
